sample_id,biosample,other_sample_id,collaborator_sample_id,dataset,env_broad_scale,env_medium,storage_medium,host_pooped,host_taxon,host_genus,host_species,animal_type,animal_ecomode,Clade_Order,Family,Diet,Diet_Detailed,Habitat,Metamorphosis,Reproduction,sex,svl,weight,collection_date,state,county,ecoregion_III,ecoregion_IV,site,gps_n,gps_w,walker_wash_swab_protocol,data_type,collector,notes_host,notes_lab,temp_code,,,,,,,,,,,,,,,,,,,,,,,,,
STP41,STP41,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee,Plethodon,chattahoochee,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,55,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP42,STP42,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee,Plethodon,chattahoochee,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,50,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP43,STP43,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee,Plethodon,chattahoochee,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,53,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP44,STP44,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee,Plethodon,chattahoochee,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,58,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP45,STP45,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,82,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP46,STP46,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,24,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP47,STP47,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,80,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP48,STP48,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,70,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP50,STP50,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,33,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP51,STP51,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,52,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
