sample_id,biosample,other_sample_id,collaborator_sample_id,dataset,env_broad_scale,env_medium,storage_medium,host_pooped,host_taxon,host_genus,host_species,animal_type,animal_ecomode,Clade_Order,Family,Diet,Diet_Detailed,Habitat,Metamorphosis,Reproduction,sex,svl,weight,collection_date,state,county,ecoregion_III,ecoregion_IV,site,gps_n,gps_w,walker_wash_swab_protocol,data_type,collector,notes_host,notes_lab,temp_code,,,,,,,,,,,,,,,,,,,,,,,,,
STP687,STP687,NA,NA,cryo,wild,fecal,water,Y,Sceloporus clarkii,Sceloporus,clarkii,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Scrubland,Non-Meta,Oviparous,,110,,6/13/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Cochise Stronghold Camp,31.92548,-109.96695,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP689,STP689,NA,NA,cryo,wild,fecal,water,Y,,,,0,0,0,0,0,0,0,0,0,,81.5,,6/13/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Cochise Stronghold Camp,31.92548,-109.96695,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP690,STP690,NA,NA,cryo,wild,fecal,water,Y,Sceloporus jarrovii,Sceloporus,jarrovii,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Rock Outcrops,Non-Meta,Oviparous,,NA,,6/13/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Cochise Stronghold Camp,31.92548,-109.96695,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP694,STP694,NA,NA,cryo,wild,fecal,water,Y,Sceloporus cowlesi,Sceloporus,cowlesi,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,51.3,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP695,STP695,NA,NA,cryo,wild,fecal,water,Y,Aspidoscelis arizonae,Aspidoscelis,arizonae,Lizard,Terrestrial,Squamate,Teiidae,Insectivore,"Insects, arthropods, lizards",Scrubland,Non-Meta,Oviparous,,72,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP696,STP696,NA,NA,cryo,wild,fecal,water,Y,Sceloporus cowlesi,Sceloporus,cowlesi,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,60.3,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP698,STP698,NA,NA,cryo,wild,fecal,water,Y,Sceloporus cowlesi,Sceloporus,cowlesi,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,42.3,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP699,STP699,NA,NA,cryo,wild,fecal,water,Y,Sceloporus virgatus,Sceloporus,virgatus,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Rock Outcrops,Non-Meta,Oviparous,,42,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP700,STP700,NA,NA,cryo,wild,fecal,water,Y,Sceloporus virgatus,Sceloporus,virgatus,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Rock Outcrops,Non-Meta,Oviparous,,48.9,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP701,STP701,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,51,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP702,STP702,NA,NA,cryo,wild,fecal,water,Y,Sceloporus clarkii,Sceloporus,clarkii,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Scrubland,Non-Meta,Oviparous,,86.2,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP703,STP703,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,47.5,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP705,STP705,NA,NA,cryo,wild,fecal,water,Y,Sceloporus virgatus,Sceloporus,virgatus,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Rock Outcrops,Non-Meta,Oviparous,,48.9,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP706,STP706,NA,NA,cryo,wild,fecal,water,Y,Sceloporus cowlesi,Sceloporus,cowlesi,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,56.7,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP707,STP707,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,46.2,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP709,STP709,NA,NA,cryo,wild,fecal,water,Y,Sceloporus virgatus,Sceloporus,virgatus,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Rock Outcrops,Non-Meta,Oviparous,,53,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP710,STP710,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,50.5,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP711,STP711,NA,NA,cryo,wild,fecal,water,Y,Sceloporus virgatus,Sceloporus,virgatus,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Rock Outcrops,Non-Meta,Oviparous,,49.5,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP712,STP712,NA,NA,cryo,wild,fecal,water,Y,Sceloporus cowlesi,Sceloporus,cowlesi,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,44.3,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP713,STP713,NA,NA,cryo,wild,fecal,water,Y,Sceloporus virgatus,Sceloporus,virgatus,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Rock Outcrops,Non-Meta,Oviparous,,41,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP715,STP715,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,45.7,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP716,STP716,NA,NA,cryo,wild,fecal,water,Y,Sceloporus virgatus,Sceloporus,virgatus,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Rock Outcrops,Non-Meta,Oviparous,,38,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP718,STP718,NA,NA,cryo,wild,fecal,water,Y,Sceloporus virgatus,Sceloporus,virgatus,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Rock Outcrops,Non-Meta,Oviparous,,55,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP719,STP719,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,47,,6/14/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Turkey Creek - Chiracava Mountains,31.9708,-109.32585,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP721,STP721,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,48,,6/14/2015,AZ,cochise,Madrean Archipelago,Madrean Basin Grasslands,Road cruise Random Telephone Poles,31.99077,-109.45123,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP722,STP722,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,54.6,,6/14/2015,AZ,cochise,Madrean Archipelago,Madrean Basin Grasslands,Road cruise Random Telephone Poles,31.99077,-109.45123,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP724,STP724,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,51,,6/14/2015,AZ,cochise,Madrean Archipelago,Madrean Basin Grasslands,Road cruise Random Telephone Poles,31.99077,-109.45123,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP726,STP726,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,54,,6/14/2015,AZ,cochise,Madrean Archipelago,Madrean Basin Grasslands,Road cruise Random Telephone Poles,31.99077,-109.45123,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP727,STP727,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,48,,6/14/2015,AZ,cochise,Madrean Archipelago,Madrean Basin Grasslands,Road cruise Random Telephone Poles,31.99077,-109.45123,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP728,STP728,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,50,,6/14/2015,AZ,cochise,Madrean Archipelago,Madrean Basin Grasslands,Road cruise Random Telephone Poles,31.99077,-109.45123,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP730,STP730,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,45,,6/15/2015,AZ,cochise,Madrean Archipelago,Apachian Valleys and Low Hills,Road cruise Random Telephone Poles,31.59857,-109.71317,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP731,STP731,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,NA,,6/15/2015,AZ,cochise,Madrean Archipelago,Apachian Valleys and Low Hills,Road cruise Random Telephone Poles,31.59857,-109.71317,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP732,STP732,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,20,,6/15/2015,AZ,cochise,Madrean Archipelago,Apachian Valleys and Low Hills,Road cruise Random Telephone Poles,31.59857,-109.71317,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP733,STP733,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,41,,6/15/2015,AZ,cochise,Madrean Archipelago,Apachian Valleys and Low Hills,Road cruise Random Telephone Poles,31.59857,-109.71317,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP734,STP734,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,46,,6/15/2015,AZ,cochise,Madrean Archipelago,Apachian Valleys and Low Hills,Road cruise Random Telephone Poles,31.59857,-109.71317,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP735,STP735,NA,NA,cryo,wild,fecal,water,Y,Sceloporus clarkii,Sceloporus,clarkii,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Scrubland,Non-Meta,Oviparous,,108,,6/16/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Coronado National Forest,31.42136,-110.26885,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP736,STP736,NA,NA,cryo,wild,fecal,water,Y,Sceloporus clarkii,Sceloporus,clarkii,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Scrubland,Non-Meta,Oviparous,,114,,6/16/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Coronado National Forest,31.42136,-110.26885,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP737,STP737,NA,NA,cryo,wild,fecal,water,Y,Sceloporus clarkii,Sceloporus,clarkii,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Scrubland,Non-Meta,Oviparous,,90.9,,6/16/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Coronado National Forest,31.42136,-110.26885,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP738,STP738,NA,NA,cryo,wild,fecal,water,Y,Sceloporus clarkii,Sceloporus,clarkii,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Scrubland,Non-Meta,Oviparous,,84,,6/16/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Coronado National Forest,31.42136,-110.26885,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP739,STP739,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,50.4,,6/16/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Coronado National Forest,31.42136,-110.26885,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP740,STP740,NA,NA,cryo,wild,fecal,water,Y,Sceloporus clarkii,Sceloporus,clarkii,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Scrubland,Non-Meta,Oviparous,,92.1,,6/16/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Coronado National Forest,31.42136,-110.26885,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP742,STP742,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,49,,6/16/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Coronado National Forest,31.42136,-110.26885,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP744,STP744,NA,NA,cryo,wild,fecal,water,Y,Sceloporus clarkii,Sceloporus,clarkii,Lizard,Terrestrial,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Scrubland,Non-Meta,Oviparous,,116,,6/16/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Coronado National Forest,31.42136,-110.26885,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP745,STP745,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,NA,,6/16/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Coronado National Forest,31.42136,-110.26885,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP746,STP746,NA,NA,cryo,wild,fecal,water,Y,Urosaurus ornatus,Urosaurus,ornatus,Lizard,Arboreal,Squamate,Phrynosomatidae,Insectivore,"Insects, arthropods",Generalist,Non-Meta,Oviparous,,48.7,,6/16/2015,AZ,cochise,Madrean Archipelago,Lower Madrean Woodlands,Coronado National Forest,31.42136,-110.26885,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP748,STP748,NA,NA,cryo,wild,fecal,water,Y,Desmognathus welteri,Desmognathus,welteri,Salamander,Aquatic,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Streamside,Metamorphic,Oviparous,,NA,,9/24/2015,TN,hardin,Southeastern Plains,Transition Hills,Horse Creek Wildlife Sanctuary,35.119354,-88.173367,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP753,STP753,NA,NA,cryo,wild,fecal,water,Y,Eurycea bislineata,Eurycea,bislineata,Salamander,Aquatic,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Streamside,Metamorphic,Oviparous,,NA,,9/24/2015,TN,hardin,Southeastern Plains,Transition Hills,Horse Creek Wildlife Sanctuary,35.119354,-88.173367,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754,STP754,NA,NA,cryo,wild,fecal,water,Y,Plethodon mississippi,Plethodon,mississippi,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,NA,,9/24/2015,TN,hardin,Southeastern Plains,Transition Hills,Horse Creek Wildlife Sanctuary,35.119354,-88.173367,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP755,STP755,NA,NA,cryo,wild,fecal,water,Y,Plethodon mississippi,Plethodon,mississippi,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,NA,,9/24/2015,TN,hardin,Southeastern Plains,Transition Hills,Horse Creek Wildlife Sanctuary,35.119354,-88.173367,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP756,STP756,NA,NA,cryo,wild,fecal,water,Y,Eurycea bislineata,Eurycea,bislineata,Salamander,Aquatic,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Streamside,Metamorphic,Oviparous,,NA,,9/24/2015,TN,hardin,Southeastern Plains,Transition Hills,Horse Creek Wildlife Sanctuary,35.119354,-88.173367,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP757,STP757,NA,NA,cryo,wild,fecal,water,Y,Lampropeltis getula,Lampropeltis,getula,Snake,Terrestrial,Squamate,Colubridae,Carnivore,Carnivore Generalist,Generalist,Non-Meta,Oviparous,,NA,,3/31/2016,TN,rutherford,Interior Plateau,Inner Nashville Basin,Murfeesboro,35.770807,-86.511384,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP758,STP758,NA,NA,cryo,wild,fecal,water,Y,Lampropeltis getula,Lampropeltis,getula,Snake,Terrestrial,Squamate,Colubridae,Carnivore,Carnivore Generalist,Generalist,Non-Meta,Oviparous,,NA,,3/31/2016,TN,rutherford,Interior Plateau,Inner Nashville Basin,Murfeesboro,35.770807,-86.511384,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP759,STP759,NA,NA,cryo,wild,fecal,water,Y,Crotalus horridus,Crotalus,horridus,Snake,Terrestrial,Squamate,Viperidae,Carnivore,Small mammals,Forest,Non-Meta,Ovoviviparous,,950,,4/7/2016,TN,rutherford,Interior Plateau,Inner Nashville Basin,Flatrocks Cedar Glades,35.85822,-86.30508,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP761,STP761,NA,NA,cryo,wild,fecal,water,Y,Coluber constrictor,Coluber,constrictor,Snake,Terrestrial,Squamate,Colubridae,Carnivore,Carnivore Generalist,Open Habitats,Non-Meta,Oviparous,,860,,4/8/2016,TN,rutherford,Interior Plateau,Inner Nashville Basin,Flatrocks Cedar Glades,35.85505,-86.30748,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP763,STP763,NA,NA,cryo,wild,fecal,water,Y,Coluber constrictor,Coluber,constrictor,Snake,Terrestrial,Squamate,Colubridae,Carnivore,Carnivore Generalist,Open Habitats,Non-Meta,Oviparous,,NA,,4/8/2016,TN,rutherford,Interior Plateau,Inner Nashville Basin,Flatrocks Cedar Glades,35.857653,-86.297744,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP765,STP765,NA,NA,cryo,wild,fecal,water,Y,Diadophis punctatus,Diadophis,punctatus,Snake,Fossorial,Squamate,Colubridae,Carnivore,Carnivore Generalist,Generalist,Non-Meta,Oviparous,,290,,4/16/2016,TN,cheatham,Interior Plateau,Western Highland Rim,Cumberland River Bicentennial Trail,36.312048,-87.141568,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP771,STP771,NA,NA,cryo,wild,fecal,water,Y,Nerodia sipedon,Nerodia,sipedon,Snake,Aquatic,Squamate,Colubridae,Carnivore,"Fish, amphibians",Wetlands,Non-Meta,Ovoviviparous,,350,,4/16/2016,TN,cheatham,Interior Plateau,Western Highland Rim,Cumberland River Bicentennial Trail,36.312048,-87.141568,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP774,STP774,NA,NA,cryo,wild,fecal,water,Y,Lampropeltis getula,Lampropeltis,getula,Snake,Terrestrial,Squamate,Colubridae,Carnivore,Carnivore Generalist,Generalist,Non-Meta,Oviparous,,NA,,4/16/2016,TN,cheatham,Interior Plateau,Western Highland Rim,Cumberland River Bicentennial Trail,36.312048,-87.141568,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP775,STP775,NA,NA,cryo,wild,fecal,water,Y,Thamnophis sirtalis,Thamnophis,sirtalis,Snake,Aquatic-Terrestrial,Squamate,Colubridae,Carnivore,Carnivore Generalist,Generalist,Non-Meta,Ovoviviparous,,NA,,4/16/2016,TN,cheatham,Interior Plateau,Western Highland Rim,Cumberland River Bicentennial Trail,36.312048,-87.141568,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP776,STP776,NA,NA,cryo,wild,fecal,water,Y,Nerodia sipedon,Nerodia,sipedon,Snake,Aquatic,Squamate,Colubridae,Carnivore,"Fish, amphibians",Wetlands,Non-Meta,Ovoviviparous,,NA,,4/16/2016,TN,cheatham,Interior Plateau,Western Highland Rim,Cumberland River Bicentennial Trail,36.312048,-87.141568,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP778,STP778,NA,NA,cryo,wild,fecal,water,Y,Agkistrodon piscivorus,Agkistrodon,piscivorus,Snake,Aquatic,Squamate,Viperidae,Carnivore,Carnivore Generalist,Swamps,Non-Meta,Ovoviviparous,,NA,,4/16/2016,TN,cheatham,Interior Plateau,Western Highland Rim,Cumberland River Bicentennial Trail,36.312048,-87.141568,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP780,STP780,NA,NA,cryo,wild,fecal,water,Y,Crotalus horridus,Crotalus,horridus,Snake,Terrestrial,Squamate,Viperidae,Carnivore,Small mammals,Forest,Non-Meta,Ovoviviparous,,NA,,5/7/2016,TN,rutherford,Interior Plateau,Inner Nashville Basin,Flat Rock Cedar Glades,35.857879,-86.297519,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP809,STP809,NA,NA,cryo,wild,fecal,water,Y,Carphophis amoenus,Carphophis,amoenus,Snake,Fossorial,Squamate,Colubridae,Carnivore,"Earthworms, insect larvae",Forest,Non-Meta,Oviparous,,NA,,5/14/2016,TN,cumberland,Southwestern Appalachians,Cumberland Plateau,Catoosa WMA,36.087911,-84.946311,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP810,STP810,NA,NA,cryo,wild,fecal,water,Y,Carphophis amoenus,Carphophis,amoenus,Snake,Fossorial,Squamate,Colubridae,Carnivore,"Earthworms, insect larvae",Forest,Non-Meta,Oviparous,,NA,,5/14/2016,TN,cumberland,Southwestern Appalachians,Cumberland Plateau,Catoosa WMA,36.087911,-84.946311,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
