sample_id
UHM10
UHM100
UHM101
UHM102
UHM103
UHM104
UHM105
UHM106
UHM107
UHM108
UHM109
UHM11
UHM110
UHM111
UHM112
UHM113
UHM114
UHM115
UHM116
UHM117
UHM118
UHM119
UHM12
UHM120
UHM121
UHM122
UHM123
UHM124
UHM125
UHM126
UHM127
UHM128
UHM129
UHM13
UHM130
UHM131
UHM132
UHM133
UHM134
UHM135
UHM136
UHM137
UHM138
UHM139
UHM14
UHM140
UHM141
UHM142
UHM143
UHM144
UHM145
UHM15
UHM16
UHM17
UHM18
UHM19
UHM20
UHM21
UHM22
UHM23
UHM24
UHM25
UHM26
UHM27
UHM28
UHM29
UHM30
UHM31
UHM32
UHM33
UHM34
UHM35
UHM36
UHM37
UHM38
UHM39
UHM40
UHM41
UHM42
UHM43
UHM44
UHM45
UHM46
UHM47
UHM48
UHM49
UHM50
UHM51
UHM52
UHM53
UHM534
UHM535
UHM536
UHM537
UHM538
UHM539
UHM54
UHM540
UHM541
UHM542
UHM543
UHM544
UHM545
UHM546
UHM547
UHM548
UHM549
UHM55
UHM550
UHM551
UHM552
UHM553
UHM554
UHM555
UHM556
UHM557
UHM558
UHM559
UHM56
UHM560
UHM561
UHM562
UHM563
UHM564
UHM565
UHM566
UHM567
UHM568
UHM569
UHM57
UHM570
UHM571
UHM572
UHM573
UHM574
UHM575
UHM576
UHM577
UHM578
UHM579
UHM58
UHM580
UHM581
UHM582
UHM583
UHM584
UHM585
UHM586
UHM587
UHM588
UHM589
UHM59
UHM590
UHM591
UHM592
UHM593
UHM594
UHM595
UHM596
UHM597
UHM598
UHM599
UHM60
UHM600
UHM601
UHM602
UHM603
UHM604
UHM605
UHM606
UHM607
UHM608
UHM609
UHM61
UHM610
UHM611
UHM612
UHM613
UHM614
UHM615
UHM616
UHM617
UHM618
UHM619
UHM62
UHM620
UHM621
UHM622
UHM623
UHM624
UHM625
UHM626
UHM627
UHM628
UHM629
UHM63
UHM630
UHM631
UHM632
UHM633
UHM634
UHM635
UHM636
UHM637
UHM638
UHM639
UHM64
UHM640
UHM641
UHM642
UHM643
UHM644
UHM645
UHM646
UHM647
UHM648
UHM649
UHM65
UHM650
UHM651
UHM652
UHM653
UHM654
UHM655
UHM656
UHM657
UHM658
UHM659
UHM66
UHM660
UHM661
UHM662
UHM663
UHM664
UHM665
UHM666
UHM667
UHM668
UHM669
UHM67
UHM670
UHM671
UHM672
UHM673
UHM674
UHM675
UHM676
UHM677
UHM678
UHM679
UHM68
UHM680
UHM681
UHM682
UHM683
UHM684
UHM685
UHM686
UHM687
UHM688
UHM689
UHM69
UHM690
UHM691
UHM692
UHM693
UHM694
UHM695
UHM696
UHM697
UHM698
UHM699
UHM70
UHM700
UHM71
UHM72
UHM73
UHM74
UHM75
UHM76
UHM77
UHM78
UHM79
UHM8
UHM80
UHM81
UHM82
UHM83
UHM84
UHM85
UHM86
UHM87
UHM88
UHM89
UHM9
UHM90
UHM91
UHM92
UHM93
UHM94
UHM95
UHM96
UHM97
UHM98
UHM99
